pxd	data_file	category	assessed_entities	gold_entities	matched_entities	assessed_only_entities	gold_only_entities	precision	recall	f1
PXD013923	2013114_CCS_MEKi_30min_P06.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	2013114_CCS_MEKi_30min_P06.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	2013114_CCS_RAFi_30min_P01.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	2013114_CCS_RAFi_30min_P01.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	2013114_CCS_RAFi_30min_P01.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	2013114_CCS_RAFi_30min_P02.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	2013114_CCS_RAFi_30min_P02.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	2013114_CCS_RAFi_30min_P02.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	2013114_CCS_RAFi_30min_P03.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	2013114_CCS_RAFi_30min_P03.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	2013114_CCS_RAFi_30min_P03.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	2013114_CCS_RAFi_30min_P04.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	2013114_CCS_RAFi_30min_P04.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	2013114_CCS_RAFi_30min_P04.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	2013114_CCS_RAFi_30min_P05.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	2013114_CCS_RAFi_30min_P05.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	2013114_CCS_RAFi_30min_P05.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	2013114_CCS_RAFi_30min_P06.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	2013114_CCS_RAFi_30min_P06.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	2013114_CCS_RAFi_30min_P06.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140207_KMJ_CCS_RAFi30min_V3_S01.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140207_KMJ_CCS_RAFi30min_V3_S01.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140207_KMJ_CCS_RAFi30min_V3_S01.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140207_KMJ_CCS_RAFi30min_V3_S013_14.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140207_KMJ_CCS_RAFi30min_V3_S013_14.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140207_KMJ_CCS_RAFi30min_V3_S013_14.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140207_KMJ_CCS_RAFi30min_V3_S015.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140207_KMJ_CCS_RAFi30min_V3_S015.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140207_KMJ_CCS_RAFi30min_V3_S015.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140207_KMJ_CCS_RAFi30min_V3_S02_12.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140207_KMJ_CCS_RAFi30min_V3_S02_12.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140207_KMJ_CCS_RAFi30min_V3_S02_12.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140207_KMJ_CCS_RAFi30min_V3_S03_4_5_6.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140207_KMJ_CCS_RAFi30min_V3_S03_4_5_6.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140207_KMJ_CCS_RAFi30min_V3_S03_4_5_6.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140207_KMJ_CCS_RAFi30min_V3_S07_8.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140207_KMJ_CCS_RAFi30min_V3_S07_8.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140207_KMJ_CCS_RAFi30min_V3_S07_8.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140207_KMJ_CCS_RAFi30min_V3_S09_10_11.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140207_KMJ_CCS_RAFi30min_V3_S09_10_11.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140207_KMJ_CCS_RAFi30min_V3_S09_10_11.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140210_KMJ_CCS_MEKi30min_V3_S01.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140210_KMJ_CCS_MEKi30min_V3_S01.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140210_KMJ_CCS_MEKi30min_V3_S01.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140210_KMJ_CCS_MEKi30min_V3_S013_14.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140210_KMJ_CCS_MEKi30min_V3_S013_14.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140210_KMJ_CCS_MEKi30min_V3_S013_14.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140210_KMJ_CCS_MEKi30min_V3_S015.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140210_KMJ_CCS_MEKi30min_V3_S015.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140210_KMJ_CCS_MEKi30min_V3_S015.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140210_KMJ_CCS_MEKi30min_V3_S02_12.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140210_KMJ_CCS_MEKi30min_V3_S02_12.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140210_KMJ_CCS_MEKi30min_V3_S02_12.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140210_KMJ_CCS_MEKi30min_V3_S03_4_5_6.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140210_KMJ_CCS_MEKi30min_V3_S03_4_5_6.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140210_KMJ_CCS_MEKi30min_V3_S03_4_5_6.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140210_KMJ_CCS_MEKi30min_V3_S07_8.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140210_KMJ_CCS_MEKi30min_V3_S07_8.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140210_KMJ_CCS_MEKi30min_V3_S07_8.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140210_KMJ_CCS_MEKi30min_V3_S09_10_11.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140210_KMJ_CCS_MEKi30min_V3_S09_10_11.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140210_KMJ_CCS_MEKi30min_V3_S09_10_11.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140211_KMJ_CCS_RAFi_V3_30min_P01.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140211_KMJ_CCS_RAFi_V3_30min_P01.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140211_KMJ_CCS_RAFi_V3_30min_P01.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140211_KMJ_CCS_RAFi_V3_30min_P02.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140211_KMJ_CCS_RAFi_V3_30min_P02.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140211_KMJ_CCS_RAFi_V3_30min_P02.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140211_KMJ_CCS_RAFi_V3_30min_P03.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140211_KMJ_CCS_RAFi_V3_30min_P03.raw	Technical	6	6	6	0	0	1.000000	1.000000	1.000000
PXD013923	20140211_KMJ_CCS_RAFi_V3_30min_P03.raw	ExperimentalDesign	2	1	1	1	0	0.500000	1.000000	0.666667
PXD013923	20140211_KMJ_CCS_RAFi_V3_30min_P04.raw	Biological	6	6	6	0	0	1.000000	1.000000	1.000000
